ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,HoursofOperation,DaysofOperation
Abelina Martinez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,205-398-3018,9 AM - 4 AM,M W TH F
Aimee Casey,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-216-4041,9 AM - 10 AM,T W F
Alicia Fleck-Hills,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,228-249-1771,11 AM - 6 AM,T W 
Amanda McAfee,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-344-3083,10 AM - 8 AM,W 
Amanda Solares,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-369-0684,3 PM - 5 PM,M T W TH 
Amber  Siddiqi,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-372-4188,9 AM - 4 PM,T TH F
Ana Elba  Blanco,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-435-5266,10 AM - 5 PM,M T TH 
A Mother's Touch Early Childhood Development Center Inc.,LICENSED,4,Center,1,Low,67,YAZOO CITY,39194,82,YAZOO,228-436-6493,4 PM - 6 AM,W 
Ana Imelda Morales,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,VAUGHAN,39179,82,YAZOO,228-447-3312,2 PM - 10 AM,T W TH F
Andy Kuo,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-475-0240,11 AM - 2 PM,M T W TH 
Angelica Mejia,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-697-7528,12 PM - 3 AM,M F
Anita Anaya,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-818-6677,1 PM - 1 PM,TH 
Annie Mae Jackson,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-865-0620,9 AM - 9 AM,T 
Antoinette  Hodges,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-865-1612,9 AM - 2 PM,T W TH 
Armandina  Ibarra,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,228-990-3298,1 PM - 11 AM,M T TH F
ABC Academy,LICENSED,4,Center,0,Not Rated,46,YAZOO CITY,39194,82,YAZOO,347-354-4373,3 PM - 4 AM,M W F
Aubrey  Peeler,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,600-400-2319,2 PM - 9 AM,M T W F
Autumn  Hooten,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-208-9103,3 PM - 11 AM,T W TH F
Ayo  Blount,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,7,YAZOO CITY,39194,82,YAZOO,601-212-5287,4 PM - 10 AM,TH F
Barbara  Chambers-Cornett,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-222-2222,1 PM - 5 PM,M T F
Barbara Davis,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-226-9020,1 PM - 7 AM,M T 
ABC Kid's Club,LICENSED,4,Center,0,Not Rated,60,YAZOO CITY,39194,82,YAZOO,601-248-5946,3 PM - 11 AM,F
Barbara Webb,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-250-0012,3 PM - 3 PM,T W 
Beatrice Espinoza,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-253-6288,10 AM - 5 PM,M TH F
Beatriz Huitron,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-260-8333,11 AM - 4 PM,W TH 
Belinda Eder,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-265-2129,2 PM - 12 PM,M W TH 
Belinda Villarreal,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-267-0346,2 PM - 10 AM,M TH F
Benjamin Zelisko,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,601-267-4064,3 PM - 4 PM,T TH F
Bernadette  Battle,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-267-6373,10 AM - 3 PM,M 
Berta Alicia Rodriguez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-268-9293,12 PM - 4 AM,M T W 
Berta Marroquin,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BENTON,39039,82,YAZOO,601-271-2585,1 PM - 12 PM,M T F
Bertha Alicia Aquirre,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BENTONIA,39040,82,YAZOO,601-273-0210,1 PM - 2 AM,M T W TH F
Bertha Lee Sims,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-276-2171,4 PM - 12 PM,F
Bessie Teresa Bolar,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-278-0912,2 PM - 9 AM,M T F
